cls	score
0	0.340578665138
1	0.479389643373
1	0.840049391075
1	0.445725038888
1	0.439451957374
0	0.259946392872
1	0.444997683963
1	0.451098585939
0	0.158850911704
0	0.310242491606
1	0.699974163194
0	0.248486597402
0	0.247592504594
0	0.388571341964
0	0.154814565636
0	0.125108363093
0	0.208807281788
0	0.162129991339
0	0.223168511547
0	0.187623207871
0	0.168359719306
1	0.318903901389
0	0.107911083158
0	0.364637557099
0	0.258802007041
0	0.218074619343
0	0.157904567513
0	0.163263301437
0	0.10927256557
1	0.898657010337
1	0.401060027406
0	0.169092126213
0	0.249664384315
0	0.399680473072
0	0.354339191453
0	0.129845888084
0	0.232249087811
0	0.101457201404
1	0.182853655655
0	0.165224917265
0	0.450940905881
0	0.505305107071
1	0.919560914629
0	0.45196184652
0	0.180970278092
0	0.101104280279
0	0.113623834884
0	0.115915927318
0	0.374420024704
0	0.304507962371
1	0.732913390937
0	0.301943369834
0	0.409669010075
0	0.197920218214
0	0.197992361819
0	0.148666474703
0	0.398331285478
0	0.53643974983
0	0.501771364243
0	0.437551726825
0	0.114396672127
0	0.138431154605
0	0.164572751589
0	0.178802720453
0	0.14084801767
0	0.264428887021
0	0.264614459096
1	0.390671376499
1	0.436665488184
0	0.169152107769
0	0.194240704681
0	0.40293197513
0	0.227611991186
1	0.868974275507
0	0.0945695707018
0	0.186865752289
0	0.303786044554
0	0.131895563658
0	0.541129177508
1	0.880087117321
0	0.491850945789
1	0.847508634438
0	0.883893536351
0	0.218607748717
0	0.293593661072
0	0.157533589737
0	0.399084317041
1	0.803027560459
0	0.802459905119
1	0.816328245823
0	0.479667600069
0	0.478774031805
1	0.772416629316
1	0.554201116609
0	0.257340403583
0	0.167147576908
0	0.179099026123
0	0.412942945268
0	0.23961642346
1	0.317656071436
0	0.499352031034
1	0.822056786657
0	0.572088378565
0	0.178207347471
0	0.416558656832
0	0.428963364412
1	0.747967204072
0	0.140338898559
0	0.478885475893
1	0.861377879831
